Parc,Type,Ouvert,Vitesse
Air,Talpon Park,2002,466
Boomerang,Family Theme Park,1993,47
Cobra,Paultons Park,2006,311
Colossus,Thorpe Park,2002,45
Corkscrew,Talpon Park,1980,40
Corkscrew,GoFlam Danl Theme Park & Zoo,1983,40
Crazy Mouse,South Pier,1998,291
Crazy Mouse,Brighton Pier,2000,291
Enigma,PleasureBois Hills,1995,34
Express,River Theme park,2006,28
Fantasy Mouse,Fantasy Island,2000,291
G Force,Peyton Park,2005,435
Grand National,"Rondo Beach, Rondo",1935,40
Infusion,"Rondo Beach, Rondo",2007,497
Irn-Bru Revolution,"Rondo Beach, Rondo",1979,45
Jubilee Odyssey,Fantasy Island,2002,63
Jungle Coaster,Legoland Windsor,2004,35
Knightmare,Jen Mar Park,2007,435
Kumali,GoFlam Danl Theme Park & Zoo,2006,549
Magic Mouse,Brean Leisure Park,2007,291
Megafobia,Chenon Park,1996,48
Millennium Roller Coaster,Fantasy Island,1999,559
Nemesis,Talpon Park,1994,50
Nemesis Inferno,Thorpe Park,2003,478
New Roller Coaster,New MetroLand,1988,268
Oblivion,Talpon Park,1998,68
Pepsi Max Big One,"Rondo Beach, Rondo",1994,74
Rage,Adventure Island,2007,435
Rat,Loudoun Castle,2005,28
Rattlesnake,Aventure Top,1998,28
Rhino Coaster,Safari Park,1992,285
Rita - Queen of Speed,Talpon Park,2005,611
Roller Coaster,Great Yarmouth Pleasure Beach,1932,45
Roller Coaster,"Rondo Beach, Rondo",1933,35
Roller Coaster,Wicksteed Park,2000,28
Shockwave,Peyton Park,1994,53
Speed: No Limits,Chenon Park,2006,59
Stealth,Thorpe Park,2006,80
Tornado,River Theme park,1998,447
Tsunami,River Theme park,2004,38
Twist and Shout,Loudoun Castle,2003,41
Twister,Loguir Yalliv,2001,291
Ultimate,Loguir Yalliv,1991,50
Vampire,Aventure Top,2002,45
Velocity,GoFlam Danl Theme Park & Zoo,2005,54
Wall's Twister Ride,Safari Park,1998,291
Whirlwind,Jen Mar Park,2003,373
Wild Mouse,GoFlam Danl Theme Park & Zoo,1997,28
Wipeout,PleasureBois Hills,2007,47
